##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_customrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_customrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
dpath.a_lt_b$in0[12],net36 0.000508 0.000497 0.000011 -0.000011 2.119321 {}
dpath.a_lt_b$in0[6],net36 0.000450 0.000459 0.000009 0.000009 2.040150 {}
dpath.a_lt_b$in1[4],net55 0.000517 0.000507 0.000010 -0.000010 1.927911 {}
_112_,net51 0.001163 0.001185 0.000022 0.000022 1.891727 {}
_105_,dpath.a_lt_b$in0[10] 0.000916 0.000933 0.000017 0.000017 1.881430 {}
_157_,clknet_2_2_0_clk 0.000600 0.000589 0.000011 -0.000011 1.834882 {}
net14,net36 0.001250 0.001227 0.000023 -0.000023 1.809976 {}
_101_,clknet_2_0_0_clk 0.000484 0.000492 0.000009 0.000009 1.763298 {}
_112_,net45 0.001125 0.001105 0.000019 -0.000019 1.713343 {}
net18,net51 0.002000 0.001966 0.000033 -0.000033 1.661832 {}
_040_,dpath.a_lt_b$in1[11] 0.000755 0.000767 0.000012 0.000012 1.604809 {}
_038_,_064_ 0.000433 0.000426 0.000007 -0.000007 1.558131 {}
clknet_2_1_0_clk,net36 0.002214 0.002247 0.000033 0.000033 1.501488 {}
_066_,_085_ 0.000600 0.000609 0.000009 0.000009 1.479631 {}
dpath.a_lt_b$in0[0],dpath.a_lt_b$in1[0] 0.001005 0.001019 0.000014 0.000014 1.407525 {}
_071_,_111_ 0.000437 0.000443 0.000006 0.000006 1.385625 {}
_023_,_150_ 0.000437 0.000443 0.000006 0.000006 1.381510 {}
net36,net37 0.001155 0.001139 0.000016 -0.000016 1.370187 {}
_037_,net51 0.001250 0.001233 0.000017 -0.000017 1.326575 {}
_026_,_112_ 0.000739 0.000748 0.000009 0.000009 1.220601 {}
clknet_2_1_0_clk,net41 0.000670 0.000662 0.000008 -0.000008 1.214723 {}
_046_,dpath.a_lt_b$in0[5] 0.001595 0.001576 0.000019 -0.000019 1.164018 {}
_052_,_111_ 0.001016 0.001005 0.000011 -0.000011 1.121445 {}
_066_,_087_ 0.000918 0.000929 0.000010 0.000010 1.118153 {}
net22,net68 0.000625 0.000631 0.000006 0.000006 0.967706 {}
_101_,clknet_2_2_0_clk 0.000549 0.000554 0.000005 0.000005 0.933969 {}
net36,net75 0.001478 0.001490 0.000012 0.000012 0.788657 {}
_101_,net55 0.001180 0.001189 0.000009 0.000009 0.781406 {}
_104_,_111_ 0.000831 0.000825 0.000006 -0.000006 0.742398 {}
clknet_2_2_0_clk,net68 0.002501 0.002484 0.000017 -0.000017 0.663411 {}
_112_,dpath.a_lt_b$in0[8] 0.002055 0.002042 0.000013 -0.000013 0.648421 {}
net101,net56 0.000951 0.000957 0.000006 0.000006 0.623146 {}
dpath.a_lt_b$in0[4],dpath.a_lt_b$in1[4] 0.001165 0.001172 0.000007 0.000007 0.586818 {}
_070_,net43 0.000625 0.000623 0.000002 -0.000002 0.290136 {}
_147_,net79 0.000462 0.000461 0.000001 -0.000001 0.271727 {}
net36,net46 0.000554 0.000553 0.000001 -0.000001 0.227699 {}
clknet_1_0_0_clk,net72 0.001187 0.001190 0.000002 0.000002 0.207638 {}
_112_,_142_ 0.000647 0.000645 0.000001 -0.000001 0.172131 {}
_145_,net44 0.000647 0.000646 0.000001 -0.000001 0.155583 {}
net36,net4 0.001138 0.001138 0.000001 -0.000001 0.066763 {}
dpath.a_lt_b$in0[10],net68 0.001250 0.001249 0.000000 0.000000 0.024965 {}
################## EXCLUDED NETS #########################
################## UNMATCHED NETS #########################
_112_,net81 NaN 0.000399 NaN NaN NaN { NF golden}
net1,net101 NaN 0.000014 NaN NaN NaN { NF golden}
_081_,_093_ NaN 0.000357 NaN NaN NaN { NF golden}
_112_,net79 NaN 0.000000 NaN NaN NaN { NF golden}
_017_,clknet_2_1_0_clk NaN 0.000131 NaN NaN NaN { NF golden}
_093_,_160_ NaN 0.000266 NaN NaN NaN { NF golden}
_017_,net55 NaN 0.000136 NaN NaN NaN { NF golden}
