##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_platformrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_platformrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
net22,net68 0.000625 0.000544 0.000081 -0.000081 12.998336 {}
_042_,clknet_2_2_0_clk 0.000413 0.000361 0.000051 -0.000051 12.467766 {}
net36,net68 0.000958 0.001075 0.000117 0.000117 12.251190 {}
_037_,_066_ 0.000500 0.000441 0.000059 -0.000059 11.880958 {}
_023_,dpath.a_lt_b$in0[4] 0.000562 0.000629 0.000066 0.000066 11.803585 {}
resp_msg[11],resp_msg[13] 0.000507 0.000566 0.000059 0.000059 11.673179 {}
_060_,dpath.a_lt_b$in1[11] 0.000437 0.000388 0.000050 -0.000050 11.317498 {}
req_msg[29],req_rdy 0.000481 0.000535 0.000054 0.000054 11.309821 {}
dpath.a_lt_b$in0[4],dpath.a_lt_b$in1[4] 0.001165 0.001034 0.000131 -0.000131 11.269836 {}
req_msg[21],req_msg[8] 0.000498 0.000551 0.000053 0.000053 10.600538 {}
req_msg[19],resp_msg[3] 0.000545 0.000601 0.000056 0.000056 10.274156 {}
clknet_2_3_0_clk,ctrl.state.out[1] 0.000812 0.000729 0.000083 -0.000083 10.218411 {}
_039_,_083_ 0.000400 0.000359 0.000041 -0.000041 10.169404 {}
_101_,clknet_2_1_0_clk 0.000401 0.000440 0.000039 0.000039 9.726172 {}
req_msg[23],resp_msg[7] 0.000545 0.000597 0.000053 0.000053 9.714459 {}
_050_,_143_ 0.000437 0.000396 0.000042 -0.000042 9.570413 {}
req_msg[20],req_msg[2] 0.000545 0.000596 0.000052 0.000052 9.515223 {}
req_msg[25],resp_msg[9] 0.000498 0.000545 0.000047 0.000047 9.423949 {}
_105_,dpath.a_lt_b$in0[8] 0.000500 0.000455 0.000044 -0.000044 8.887117 {}
_071_,_111_ 0.000437 0.000399 0.000039 -0.000039 8.861712 {}
_055_,net70 0.000439 0.000403 0.000036 -0.000036 8.120755 {}
_101_,net64 0.000675 0.000636 0.000039 -0.000039 5.810469 {}
req_msg[13],req_msg[30] 0.000591 0.000621 0.000030 0.000030 5.029784 {}
dpath.a_lt_b$in0[10],net55 0.000437 0.000416 0.000021 -0.000021 4.863497 {}
dpath.a_lt_b$in0[10],dpath.a_lt_b$in1[10] 0.000416 0.000434 0.000019 0.000019 4.486985 {}
req_msg[25],resp_msg[12] 0.000683 0.000657 0.000027 -0.000027 3.907889 {}
_101_,_150_ 0.000588 0.000609 0.000021 0.000021 3.562566 {}
dpath.a_lt_b$in0[11],dpath.a_lt_b$in1[11] 0.000405 0.000415 0.000011 0.000011 2.667557 {}
_064_,net70 0.000406 0.000397 0.000009 -0.000009 2.161071 {}
_137_,dpath.a_lt_b$in1[15] 0.000812 0.000799 0.000014 -0.000014 1.684455 {}
_037_,_065_ 0.000490 0.000482 0.000008 -0.000008 1.546584 {}
clk,net12 0.002779 0.002802 0.000023 0.000023 0.828385 {}
################## EXCLUDED NETS #########################
################## UNMATCHED NETS #########################
_112_,net81 NaN 0.000368 NaN NaN NaN { NF golden}
net1,net101 NaN 0.000009 NaN NaN NaN { NF golden}
_081_,_093_ NaN 0.000156 NaN NaN NaN { NF golden}
_112_,net79 NaN 0.000000 NaN NaN NaN { NF golden}
_017_,clknet_2_1_0_clk NaN 0.000114 NaN NaN NaN { NF golden}
_093_,_160_ NaN 0.000111 NaN NaN NaN { NF golden}
_017_,net55 NaN 0.000090 NaN NaN NaN { NF golden}
_112_,net77 NaN 0.000052 NaN NaN NaN { NF golden}
req_msg[24],req_val NaN 0.000000 NaN NaN NaN { NF golden}
dpath.a_lt_b$in0[3],net36 NaN 0.000000 NaN NaN NaN { NF golden}
net39,net66 NaN 0.000084 NaN NaN NaN { NF golden}
_049_,clk NaN 0.000045 NaN NaN NaN { NF golden}
_034_,net25 NaN 0.000011 NaN NaN NaN { NF golden}
_112_,net72 NaN 0.000000 NaN NaN NaN { NF golden}
_038_,_101_ NaN 0.000068 NaN NaN NaN { NF golden}
